age,education,job,marital,salary,balance,loan,response
58.0,tertiary,management,married,100000,2143,no,no
44.0,secondary,technician,single,60000,29,no,no
33.0,secondary,entrepreneur,married,120000,2,yes,no
47.0,unknown,blue-collar,married,20000,1506,no,no
33.0,unknown,unknown,single,0,1,no,no
35.0,tertiary,management,married,100000,231,no,no
28.0,tertiary,management,single,100000,447,yes,no
42.0,tertiary,entrepreneur,divorced,120000,2,no,no
58.0,primary,retired,married,55000,121,no,no
43.0,secondary,technician,single,60000,593,no,no
41.0,secondary,admin.,divorced,50000,270,no,no
29.0,secondary,admin.,single,50000,390,no,no
53.0,secondary,technician,married,60000,6,no,no
58.0,unknown,technician,married,60000,71,no,no
57.0,secondary,services,married,70000,162,no,no
51.0,primary,retired,married,55000,229,no,no
45.0,unknown,admin.,single,50000,13,no,no
57.0,primary,blue-collar,married,20000,52,no,no
60.0,primary,retired,married,55000,60,no,no
33.0,secondary,services,married,70000,0,no,no
28.0,secondary,blue-collar,married,20000,723,yes,no
56.0,tertiary,management,married,100000,779,no,no
32.0,primary,blue-collar,single,20000,23,yes,no
25.0,secondary,services,married,70000,50,no,no
40.0,primary,retired,married,55000,0,yes,no
44.0,secondary,admin.,married,50000,-372,no,no
39.0,tertiary,management,single,100000,255,no,no
52.0,secondary,entrepreneur,married,120000,113,yes,no
46.0,secondary,management,single,100000,-246,no,no
36.0,secondary,technician,single,60000,265,yes,no
57.0,secondary,technician,married,60000,839,yes,no
49.0,tertiary,management,married,100000,378,no,no
60.0,secondary,admin.,married,50000,39,yes,no
59.0,secondary,blue-collar,married,20000,0,no,no
51.0,tertiary,management,married,100000,10635,no,no
57.0,secondary,technician,divorced,60000,63,no,no
25.0,secondary,blue-collar,married,20000,-7,no,no
53.0,secondary,technician,married,60000,-3,no,no
36.0,secondary,admin.,divorced,50000,506,no,no
37.0,secondary,admin.,single,50000,0,no,no
44.0,secondary,services,divorced,70000,2586,no,no
50.0,secondary,management,married,100000,49,no,no
60.0,unknown,blue-collar,married,20000,104,no,no
54.0,secondary,retired,married,55000,529,no,no
58.0,unknown,retired,married,55000,96,no,no
36.0,primary,admin.,single,50000,-171,no,no
58.0,tertiary,self-employed,married,60000,-364,no,no
44.0,secondary,technician,married,60000,0,no,no
55.0,secondary,technician,divorced,60000,0,no,no
29.0,tertiary,management,single,100000,0,no,no
54.0,secondary,blue-collar,married,20000,1291,no,no
48.0,tertiary,management,divorced,100000,-244,no,no
32.0,tertiary,management,married,100000,0,no,no
42.0,secondary,admin.,single,50000,-76,no,no
24.0,secondary,technician,single,60000,-103,yes,no
38.0,tertiary,entrepreneur,single,120000,243,yes,no
38.0,tertiary,management,single,100000,424,no,no
47.0,unknown,blue-collar,married,20000,306,no,no
40.0,unknown,blue-collar,single,20000,24,no,no
46.0,primary,services,married,70000,179,no,no
32.0,tertiary,admin.,married,50000,0,no,no
53.0,secondary,technician,divorced,60000,989,no,no
57.0,primary,blue-collar,married,20000,249,no,no
33.0,secondary,services,married,70000,790,no,no
49.0,unknown,blue-collar,married,20000,154,no,no
51.0,tertiary,management,married,100000,6530,no,no
60.0,tertiary,retired,married,55000,100,no,no
59.0,tertiary,management,divorced,100000,59,no,no
55.0,secondary,technician,married,60000,1205,no,no
35.0,secondary,blue-collar,single,20000,12223,yes,no
57.0,secondary,blue-collar,married,20000,5935,yes,no
31.0,secondary,services,married,70000,25,yes,no
54.0,secondary,management,married,100000,282,yes,no
55.0,primary,blue-collar,married,20000,23,no,no
43.0,secondary,technician,married,60000,1937,no,no
53.0,secondary,technician,married,60000,384,no,no
44.0,secondary,blue-collar,married,20000,582,yes,no
55.0,secondary,services,divorced,70000,91,no,no
49.0,secondary,services,divorced,70000,0,yes,no
55.0,secondary,services,divorced,70000,1,no,no
45.0,secondary,admin.,single,50000,206,no,no
47.0,secondary,services,divorced,70000,164,no,no
42.0,secondary,technician,single,60000,690,no,no
59.0,secondary,admin.,married,50000,2343,no,yes
46.0,tertiary,self-employed,married,60000,137,yes,no
51.0,primary,blue-collar,married,20000,173,no,no
56.0,secondary,admin.,married,50000,45,no,yes
41.0,secondary,technician,married,60000,1270,no,yes
46.0,secondary,management,divorced,100000,16,yes,no
57.0,secondary,retired,married,55000,486,no,no
42.0,secondary,management,single,100000,50,no,no
30.0,secondary,technician,married,60000,152,yes,no
60.0,secondary,admin.,married,50000,290,no,no
60.0,unknown,blue-collar,married,20000,54,no,no
57.0,secondary,entrepreneur,divorced,120000,-37,no,no
36.0,tertiary,management,married,100000,101,yes,no
55.0,secondary,blue-collar,married,20000,383,no,no
60.0,tertiary,retired,married,55000,81,no,no
39.0,secondary,technician,married,60000,0,no,no
46.0,tertiary,management,married,100000,229,no,no
44.0,secondary,blue-collar,married,20000,-674,no,no
53.0,primary,blue-collar,married,20000,90,no,no
52.0,primary,blue-collar,married,20000,128,no,no
59.0,primary,blue-collar,married,20000,179,no,no
27.0,tertiary,technician,single,60000,0,no,no
44.0,secondary,blue-collar,married,20000,54,no,no
47.0,tertiary,technician,married,60000,151,no,no
34.0,secondary,admin.,married,50000,61,yes,no
59.0,secondary,retired,single,55000,30,no,no
45.0,tertiary,management,married,100000,523,no,no
29.0,secondary,services,divorced,70000,31,no,no
46.0,secondary,technician,divorced,60000,79,no,no
56.0,primary,self-employed,married,60000,-34,yes,no
36.0,primary,blue-collar,married,20000,448,no,no
59.0,primary,retired,divorced,55000,81,no,no
44.0,secondary,blue-collar,married,20000,144,no,no
41.0,secondary,admin.,married,50000,351,no,no
33.0,tertiary,management,single,100000,-67,no,no
59.0,tertiary,management,divorced,100000,262,no,no
57.0,primary,technician,married,60000,0,no,no
56.0,unknown,technician,divorced,60000,56,no,no
51.0,secondary,blue-collar,married,20000,26,no,no
34.0,unknown,admin.,married,50000,3,no,no
43.0,secondary,services,married,70000,41,yes,no
52.0,tertiary,technician,married,60000,7,yes,no
33.0,secondary,technician,single,60000,105,no,no
29.0,secondary,admin.,single,50000,818,yes,no
34.0,secondary,services,married,70000,-16,yes,no
31.0,secondary,blue-collar,married,20000,0,no,no
55.0,secondary,services,married,70000,2476,no,yes
55.0,unknown,management,married,100000,1185,no,no
32.0,secondary,admin.,single,50000,217,no,no
38.0,secondary,technician,single,60000,1685,no,no
55.0,secondary,admin.,single,50000,802,yes,no
28.0,tertiary,unemployed,single,8000,0,no,no
23.0,secondary,blue-collar,married,20000,94,no,no
32.0,secondary,technician,single,60000,0,no,no
43.0,unknown,services,single,70000,0,no,no
32.0,secondary,blue-collar,married,20000,517,no,no
46.0,secondary,blue-collar,married,20000,265,no,no
53.0,primary,housemaid,divorced,16000,947,no,no
34.0,secondary,self-employed,single,60000,3,no,no
57.0,tertiary,unemployed,married,8000,42,no,no
37.0,secondary,blue-collar,married,20000,37,no,no
59.0,secondary,blue-collar,married,20000,57,no,no
33.0,secondary,services,married,70000,22,no,no
56.0,primary,blue-collar,divorced,20000,8,no,no
48.0,secondary,unemployed,married,8000,293,no,no
43.0,primary,services,married,70000,3,no,no
54.0,primary,blue-collar,married,20000,348,no,no
51.0,unknown,blue-collar,married,20000,-19,no,no
26.0,secondary,student,single,4000,0,no,no
40.0,tertiary,management,married,100000,-4,no,no
39.0,secondary,management,married,100000,18,no,no
50.0,primary,technician,married,60000,139,no,no
41.0,secondary,services,married,70000,0,no,no
51.0,unknown,blue-collar,married,20000,1883,no,no
60.0,secondary,retired,divorced,55000,216,no,no
52.0,secondary,blue-collar,married,20000,782,no,no
48.0,secondary,blue-collar,married,20000,904,no,no
48.0,unknown,services,married,70000,1705,no,no
47.0,secondary,services,single,70000,176,no,no
40.0,secondary,blue-collar,married,20000,1225,no,no
45.0,secondary,technician,married,60000,86,no,no
26.0,secondary,admin.,single,50000,82,no,no
52.0,tertiary,management,married,100000,271,no,no
54.0,secondary,technician,married,60000,1378,no,no
54.0,tertiary,admin.,married,50000,184,no,yes
