Year,Method,16 and Over,16-24,25-34,35-49,50-59,60 and Over
1976,Unweighted,46,43,48,50,50,40
1976,Unweighted,46,43,48,50,50,40
1978,Unweighted,-1,40,48,48,48,38
1980,Unweighted,42,38,47,45,47,36
1982,Unweighted,38,NA,40,40,42,33
1984,Unweighted,36,35,40,--,39,30
1986,Unweighted,35,36,37,37,35,29
1988,Unweighted,33,33,37,37,32,
1990,Unweighted,31,33,36,34,28,24
1992,Unweighted,29,35,34,32,28,21
1994,Unweighted,28,35,34,31,27,18
1996,Unweighted,29,Missing,38,30,28,18
1998,Unweighted,28,36,37,32,27,16
2000,Weighted,29,33,39,31,27,16
2001,Weighted,28,33,38,31,26,16
2002,Weighted,27,31,36,29,27,17
2003,Weighted,28,33,38,32,26,16
2004,Weighted,26,30,99,31,26,15
2005,Weighted,25,29,34,29,25,14
2006,Weighted,23,26,33,26,23,13
2007,Weighted,22,27,29,25,None,13
2008,Weighted,22,24,30,25,23,13
2009,Weighted,22,24,27,26,22,15
2010,Weighted,21,22,28,25,20,13
2011,Weighted,n/a,24,26,25,20,14
2012,Weighted,22,22,32,na,22,13
2013,Weighted,22,26,30,24,20,12
2014,Weighted,20,25,26,22,0,12
